"dataset","threshold","status","n","A","b","bStandardError","RSquaredLogSpace"
"single",0.6,"Fitted",17,2.4287706244111975,-0.997758587957207,0.0011210282140523336,0.9999810650059655
"single",1.4,"Fitted",9,121.2911358068642,-1.9868569783475016,0.09892727749262056,0.9829421264428035
"ensemble",0.6,"Fitted",17,1.9637590002527032,-0.9955231922306632,0.0019657490386170914,0.9999415184008215
"ensemble",1.4,"Fitted",9,15.521472550661354,-2.0129248299165106,0.008269989438668158,0.9998818587600423
