"dataset","threshold","hx","status","time","lowerTime","upperTime","sampleIndex","selectedForFit"
"ensemble",1.4,3.162277660168379e-8,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"ensemble",1.4,1e-7,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"ensemble",1.4,3.162277660168379e-7,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"ensemble",1.4,0.000001,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"ensemble",1.4,0.000003162277660168379,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"ensemble",1.4,0.00001,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"ensemble",1.4,0.000031622776601683795,"Crossed","9851439725.708054",9840103848.02035,"9851439725.708054","21987",true
"ensemble",1.4,0.0001,"Crossed","982775231.2100006",981644369.1100752,"982775231.2100006","19985",true
"ensemble",1.4,0.00031622776601683794,"Crossed","98607242.47368725",98493776.86145936,"98607242.47368725","17988",true
"ensemble",1.4,0.001,"Crossed","9825695.230633875",9814388.976681931,"9825695.230633875","15985",true
"ensemble",1.4,0.0031622776601683794,"Crossed","987001.7519257306",985866.0264430701,"987001.7519257306","13989",true
"ensemble",1.4,0.01,"Crossed","98689.84501125567",98576.28434974639,"98689.84501125567","11989",true
"ensemble",1.4,0.03162277660168379,"Crossed","9959.262792646856",9947.802844860467,"9959.262792646856","9997",true
"ensemble",1.4,0.1,"Crossed","970.9150554575679",969.7978406523952,"970.9150554575679","7975",true
"ensemble",1.4,0.31622776601683794,"Crossed","44.886996942225416",44.835346267677,"44.886996942225416","5305",true
"ensemble",1.4,1,"Crossed","3.3772987590078",3.373412560978584,"3.3772987590078","3058",true
