"dataset","threshold","status","n","A","b","bStandardError","RSquaredLogSpace"
"single",0.6,"Fitted",10,1.5733564631789827,-1.9896358925405695,0.0038890604170808865,0.9999694353885663
"single",1.4,"Fitted",5,2.7187244844826424,-3.7608709486794867,0.1350346657893359,0.9961473591248684
"ensemble",0.6,"Fitted",11,0.9978566121572175,-1.9754807036683482,0.011866763041271312,0.9996753462317244
"ensemble",1.4,"Fitted",10,5.409543260275336,-2.0797915056745016,0.028725807566737413,0.9984761837847007
