"dataset","threshold","status","n","A","b","bStandardError","RSquaredLogSpace"
"single",0.6,"Fitted",11,1.1191507390648923,-1.9787172144188365,0.010543050674540389,0.9997445554267312
"single",1.4,"Fitted",10,5.687669012734683,-2.0691364759004185,0.034405509033946374,0.9977929705473962
"ensemble",0.6,"Fitted",11,0.8877549534444883,-1.9659711805082052,0.014386160537102451,0.9995183087320211
"ensemble",1.4,"Fitted",10,2.5040113994055204,-1.9797687773686696,0.006239163145019296,0.999920552684992
