"dataset","threshold","hx","status","time","lowerTime","upperTime","sampleIndex","selectedForFit"
"single",0.6,0.06309573444801933,"Crossed","37.42113535753526",37.378075518043836,"37.42113535753526","5147",true
"single",0.6,0.1,"Crossed","23.637845584374386",23.610645932972538,"23.637845584374386","4748",true
"single",0.6,0.15848931924611134,"Crossed","15.052165395622493",15.034845134766112,"15.052165395622493","4356",true
"single",0.6,0.251188643150958,"Crossed","9.508016203483324",9.49707549717679,"9.508016203483324","3957",true
"single",0.6,0.3981071705534972,"Crossed","5.937185488654585",5.930353674180495,"5.937185488654585","3548",true
"single",0.6,0.6309573444801932,"Crossed","3.8025227533806545",3.798147257611788,"3.8025227533806545","3161",true
"single",0.6,1,"Crossed","2.655001252001975",2.6519461889562264,"2.655001252001975","2849",true
"single",1.4,1e-8,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,1.5848931924611143e-8,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,2.511886431509582e-8,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,3.981071705534969e-8,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,6.30957344480193e-8,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,1e-7,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,1.584893192461114e-7,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,2.5118864315095823e-7,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,3.981071705534969e-7,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,6.30957344480193e-7,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,0.000001,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,0.000001584893192461114,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,0.0000025118864315095823,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,0.000003981071705534969,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,0.00000630957344480193,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,0.00001,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,0.00001584893192461114,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,0.000025118864315095822,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,0.000039810717055349695,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,0.00006309573444801929,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,0.0001,"Crossed","7079346696.111043",7071200616.909357,"7079346696.111043","21700",true
"single",1.4,0.00015848931924611142,"Crossed","2857427838.979877",2854139847.235918,"2857427838.979877","20912",true
"single",1.4,0.00025118864315095795,"Crossed","1153340019.2792506",1152012891.2903523,"1153340019.2792506","20124",true
"single",1.4,0.00039810717055349735,"Crossed","447134989.9206497",446620479.5854337,"447134989.9206497","19301",true
"single",1.4,0.000630957344480193,"Crossed","181309615.67057124",181100985.89826596,"181309615.67057124","18517",true
"single",1.4,0.001,"Crossed","74370935.69864541",74285358.3765406,"74370935.69864541","17743",true
"single",1.4,0.001584893192461114,"Crossed","28014570.722315125",27982334.850602586,"28014570.722315125","16895",true
"single",1.4,0.0025118864315095794,"Crossed","54562860.653240405",54500076.133223146,"54562860.653240405","17474",true
"single",1.4,0.003981071705534973,"Crossed","4522181.306099398",4516977.711945146,"4522181.306099398","15311",true
"single",1.4,0.00630957344480193,"Crossed","8636956.726506593",8627018.332954798,"8636956.726506593","15873",true
"single",1.4,0.01,"Crossed","731664.551201253",730822.6377254762,"731664.551201253","13729",true
"single",1.4,0.015848931924611134,"Crossed","1373486.662774411",1371906.2159312628,"1373486.662774411","14276",true
"single",1.4,0.025118864315095794,"Crossed","543633.4238014726",543007.8744228279,"543633.4238014726","13471",true
"single",1.4,0.039810717055349734,"Crossed","217164.10169780892",216914.21480172538,"217164.10169780892","12674",true
"single",1.4,0.06309573444801933,"Crossed","83419.8008284429",83323.81113706242,"83419.8008284429","11843",true
"single",1.4,0.1,"Crossed","21195.423666066665",21171.034466426063,"21195.423666066665","10653",true
"single",1.4,0.15848931924611134,"Crossed","7856.3805196758985",7847.34032137811,"7856.3805196758985","9791",true
"single",1.4,0.251188643150958,"Crossed","2680.4103231322492",2677.326022317146,"2680.4103231322492","8857",true
"single",1.4,0.3981071705534972,"Crossed","937.9518701488657",936.8725854988033,"937.9518701488657","7945",true
"single",1.4,0.6309573444801932,"Crossed","347.26494011606144",346.86534848316387,"347.26494011606144","7082",true
"single",1.4,1,"Crossed","30.733574433552267",30.698209852294575,"30.733574433552267","4976",true
"ensemble",0.6,1e-8,"Crossed","185106319.78577113",184893321.2131019,"185106319.78577113","18535",true
"ensemble",0.6,1.5848931924611143e-8,"Crossed","117330857.86015783",117195847.31441697,"117330857.86015783","18139",true
"ensemble",0.6,2.511886431509582e-8,"Crossed","73858946.58646068",73773958.40118407,"73858946.58646068","17737",true
"ensemble",0.6,3.981071705534969e-8,"Crossed","46600869.27277311",46547246.475605875,"46600869.27277311","17337",true
"ensemble",0.6,6.30957344480193e-8,"Crossed","29436417.186247107",29402545.220922284,"29436417.186247107","16938",true
"ensemble",0.6,1e-7,"Crossed","18572734.821627934",18551363.503716428,"18572734.821627934","16538",true
"ensemble",0.6,1.584893192461114e-7,"Crossed","11691405.433940258",11677952.340211112,"11691405.433940258","16136",true
"ensemble",0.6,2.5118864315095823e-7,"Crossed","7393629.353078553",7385121.634374641,"7393629.353078553","15738",true
"ensemble",0.6,3.981071705534969e-7,"Crossed","4654237.473657401",4648881.92480364,"4654237.473657401","15336",true
"ensemble",0.6,6.30957344480193e-7,"Crossed","2946724.3741816333",2943333.6304918625,"2946724.3741816333","14939",true
"ensemble",0.6,0.000001,"Crossed","1854942.1876477045",1852807.7384359748,"1854942.1876477045","14537",true
"ensemble",0.6,0.000001584893192461114,"Crossed","1173062.9892486476",1171713.1663865696,"1173062.9892486476","14139",true
"ensemble",0.6,0.0000025118864315095823,"Crossed","739285.5519276705",738434.8691009679,"739285.5519276705","13738",true
"ensemble",0.6,0.000003981071705534969,"Crossed","466447.88414768357",465911.15080619976,"466447.88414768357","13338",true
"ensemble",0.6,0.00000630957344480193,"Crossed","293287.7797795166",292950.29871162615,"293287.7797795166","12935",true
"ensemble",0.6,0.00001,"Crossed","185261.3819429779",185048.20494302284,"185261.3819429779","12536",true
"ensemble",0.6,0.00001584893192461114,"Crossed","117024.24037313739",116889.58264672359,"117024.24037313739","12137",true
"ensemble",0.6,0.000025118864315095822,"Crossed","73835.75828542701",73750.79678251898,"73835.75828542701","11737",true
"ensemble",0.6,0.000039810717055349695,"Crossed","46586.23875020188",46532.63278811855,"46586.23875020188","11337",true
"ensemble",0.6,0.00006309573444801929,"Crossed","29461.075849196168",29427.17550958355,"29461.075849196168","10939",true
"ensemble",0.6,0.0001,"Crossed","18545.539231622246",18524.19920719577,"18545.539231622246","10537",true
"ensemble",0.6,0.00015848931924611142,"Crossed","11674.286002051214",11660.85260735001,"11674.286002051214","10135",true
"ensemble",0.6,0.00025118864315095795,"Crossed","7391.30809463805",7382.803046965239,"7391.30809463805","9738",true
"ensemble",0.6,0.00039810717055349735,"Crossed","4658.136293015131",4652.776257858799,"4658.136293015131","9337",true
"ensemble",0.6,0.000630957344480193,"Crossed","2942.4095595509525",2939.023780842165,"2942.4095595509525","8938",true
"ensemble",0.6,0.001,"Crossed","1856.4960586200432",1854.359821396426,"1856.4960586200432","8538",true
"ensemble",0.6,0.001584893192461114,"Crossed","1171.345302520611",1169.997456170314,"1171.345302520611","8138",true
"ensemble",0.6,0.0025118864315095794,"Crossed","739.0534503784306",738.2030346268813,"739.0534503784306","7738",true
"ensemble",0.6,0.003981071705534973,"Crossed","466.3014410361313",465.76487620415077,"466.3014410361313","7338",true
"ensemble",0.6,0.00630957344480193,"Crossed","294.2101600378626",293.87161760330156,"294.2101600378626","6938",true
"ensemble",0.6,0.01,"Crossed","185.63017535859973",185.41657399457546,"185.63017535859973","6538",true
"ensemble",0.6,0.015848931924611134,"Crossed","117.39227769521514",117.25719647475529,"117.39227769521514","6140",true
"ensemble",0.6,0.025118864315095794,"Crossed","73.98274057179205",73.8976099389631,"73.98274057179205","5739",true
"ensemble",0.6,0.039810717055349734,"Crossed","46.786587412737205",46.73275091298651,"46.786587412737205","5341",true
"ensemble",0.6,0.06309573444801933,"Crossed","29.58777607874008",29.55372994741119,"29.58777607874008","4943",true
"ensemble",0.6,0.1,"Crossed","18.711270509277075",18.689739780796707,"18.711270509277075","4545",true
"ensemble",0.6,0.15848931924611134,"Crossed","11.915008813411113",11.901298423222709,"11.915008813411113","4153",true
"ensemble",0.6,0.251188643150958,"Crossed","7.587268590514831",7.578538054560625,"7.587268590514831","3761",true
