"dataset","threshold","status","n","A","b","bStandardError","RSquaredLogSpace"
"single",0.6,"Fitted",41,2.3966494791589392,-0.9987910441922195,0.0005016530018182551,0.9999901617492818
"single",1.4,"Fitted",21,195.6192161630227,-1.9154799244121523,0.05725902902552195,0.9833054470100022
"ensemble",0.6,"Fitted",41,1.9163954190344465,-0.9974447286406584,0.0008901892247515216,0.9999689373785797
"ensemble",1.4,"Fitted",22,15.900339158512422,-2.00879825424024,0.003646187266183345,0.9999341119468329
