"dataset","threshold","hx","status","time","lowerTime","upperTime","sampleIndex","selectedForFit"
"ensemble",1.4,1e-7,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"ensemble",1.4,3.162277660168379e-7,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"ensemble",1.4,0.000001,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"ensemble",1.4,0.000003162277660168379,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"ensemble",1.4,0.00001,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"ensemble",1.4,0.000031622776601683795,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"ensemble",1.4,0.0001,"Crossed","1184289515.3798952",1182926774.3524954,"1184289515.3798952","20147",true
"ensemble",1.4,0.00031622776601683794,"Crossed","118689547.276827",118552973.31117271,"118689547.276827","18149",true
"ensemble",1.4,0.001,"Crossed","11840416.275684014",11826791.717811279,"11840416.275684014","16147",true
"ensemble",1.4,0.0031622776601683794,"Crossed","1186647.0394946453",1185281.5857058873,"1186647.0394946453","14149",true
"ensemble",1.4,0.01,"Crossed","118652.28423586847",118515.75314813726,"118652.28423586847","12149",true
"ensemble",1.4,0.03162277660168379,"Crossed","11905.036055190425",11891.33714047876,"11905.036055190425","10152",true
"ensemble",1.4,0.1,"Crossed","1220.9159248817095",1219.511038491821,"1220.9159248817095","8174",true
"ensemble",1.4,0.31622776601683794,"Crossed","108.92762929388884",108.80228819483423,"108.92762929388884","6075",true
"ensemble",1.4,1,"Crossed","6.738808537627556",6.731054309669978,"6.738808537627556","3658",true
