"dataset","threshold","status","n","A","b","bStandardError","RSquaredLogSpace"
"single",0.6,"Fitted",10,1.549204112903106,-1.983865933299998,0.006978720209244401,0.9999010139646441
"single",1.4,"Fitted",7,121.43297240372911,-2.4912203801471486,0.2420907593883633,0.9549115525766061
"ensemble",0.6,"Fitted",11,1.0763561534761235,-1.9715987090322282,0.012660144300349918,0.9996290446516181
"ensemble",1.4,"Fitted",9,9.4044660166957,-2.0354425201145525,0.018238776059000757,0.9994382698793857
